#{"t_start": 1765298932.057466, "env_id": "None"}
r,l,t
-762.859307,2951,249.162252
-947.694201,4029,524.626172
-1619.93547,7870,1106.390717
-2128.063858,12479,1904.398695
-1994.155917,12479,2419.118545
-1697.107184,12479,2909.335612
-1787.90201,12479,3317.525894
-1473.389119,12479,3727.246973
-1308.618267,12479,4103.685612
-1266.244289,12479,4512.127564
-1186.300861,12479,4929.464744
-1273.303764,12479,5344.735083
-1069.946022,12479,5738.591138
-951.790861,12479,6145.337175
-1002.835118,12479,6542.76045
-1121.481723,12479,6904.110565
-836.929283,12479,7295.267192
-895.950888,12479,7708.664323
-824.48323,12479,8199.861113
