#{"t_start": 1765298852.2168818, "env_id": "None"}
r,l,t
-693.631213,2515,322.775671
-894.472721,3771,597.443601
-887.843324,3769,885.849671
-1817.660185,8924,1546.272088
-2035.473896,12479,2239.032159
-1848.861356,12479,2729.819411
-1818.993389,12479,3150.565089
-1562.192377,12479,3562.185593
-1478.620173,12479,3951.702416
-1408.160352,12479,4339.77432
-1249.124087,12479,4754.819052
-1128.475547,12479,5171.395239
-1048.570626,12479,5581.238947
-1059.657166,12479,5980.579289
-1141.870657,12479,6351.275403
-913.636748,12479,6736.495694
-911.666724,12479,7113.151545
-838.422811,12479,7457.656708
-944.338114,12479,7948.21691
-857.941479,12479,8407.846182
