#{"t_start": 1765298825.8301232, "env_id": "None"}
r,l,t
-650.72693,2279,259.745741
-837.486996,3425,545.69775
-987.117451,4351,912.236429
-2260.286548,12058,1768.936389
-2042.877049,12479,2355.71069
-1932.561452,12479,2844.738897
-1738.445864,12479,3262.851038
-1457.71311,12479,3675.211086
-1472.109295,12479,4053.480155
-1358.90521,12479,4451.897205
-1324.481555,12479,4867.965482
-1280.785549,12479,5284.393216
-1220.069365,12479,5680.176868
-1092.008773,12479,6088.3081
-1098.687453,12479,6499.210194
-1061.377833,12479,6878.295888
-1022.348577,12479,7254.227165
-859.0719,12479,7613.89659
-976.84314,12479,8121.527939
-844.377303,12479,8552.462579
