#{"t_start": 1765298872.6664891, "env_id": "None"}
r,l,t
-564.61982,1842,207.482349
-669.993703,2354,409.653815
-688.29739,2524,581.444
-1833.729865,9070,1263.263379
-2023.053163,12479,2030.242055
-1927.139198,12479,2520.175728
-1761.649435,12479,3009.050442
-1834.932967,12479,3417.702998
-1400.227583,12479,3826.256509
-1327.326111,12479,4197.631221
-1122.720644,12479,4611.357495
-1156.329896,12479,5028.477004
-1222.712086,12479,5439.034088
-1086.155382,12479,5838.589094
-1065.225241,12479,6243.898727
-1027.610671,12479,6633.670036
-909.735895,12479,7004.242529
-903.281346,12479,7373.220939
-814.223507,12479,7833.395048
-781.949524,12479,8293.565696
