#{"t_start": 1765298838.487068, "env_id": "None"}
r,l,t
-518.33875,1639,238.383111
-1330.160821,6110,701.263635
-1296.993196,5855,1092.365417
-2083.283976,10870,1890.652966
-1812.922026,12479,2428.249391
-1844.631285,12479,2917.449737
-1667.563544,12479,3324.61595
-1480.726418,12479,3744.834979
-1356.498866,12479,4112.536012
-1353.284457,12479,4521.000396
-1178.56995,12479,4938.183718
-1055.819674,12479,5353.910594
-1172.906097,12479,5749.282114
-951.090586,12479,6153.973826
-985.931547,12479,6568.054345
-874.54309,12479,6936.001553
-843.831458,12479,7325.646047
-944.931483,12479,7696.97303
-799.725113,12479,8207.721513
-611.189352,12479,8619.203449
