#{"t_start": 1765298917.2090638, "env_id": "None"}
r,l,t
-413.801075,1149,74.495882
-758.267922,2951,364.311863
-741.570325,2951,540.118538
-1829.266167,8983,1221.143733
-2047.550869,12479,1987.052377
-1863.871965,12479,2476.922037
-1654.874916,12479,2965.838484
-1644.005854,12479,3374.396362
-1325.46172,12479,3782.939801
-1310.00763,12479,4154.355571
-1054.153538,12479,4568.057541
-1245.778116,12479,4985.181736
-1142.504682,12479,5395.686929
-975.12531,12479,5795.322843
-963.938877,12479,6200.548438
-936.122092,12479,6590.297776
-913.341146,12479,6960.973392
-788.054988,12479,7330.030877
-857.369486,12479,7789.984434
-841.224415,12479,8250.290052
