timestamp,open,high,low,close,volume,datetime
1702941300000,42698.1,42732.0,42573.7,42607.1,2383.12,2023-12-18 23:15:00
1702942200000,42607.1,42671.4,42590.5,42625.0,1840.76,2023-12-18 23:30:00
1702943100000,42625.0,42717.0,42625.0,42662.0,1826.342,2023-12-18 23:45:00
1702944000000,42662.0,42924.8,42601.0,42692.0,2889.016,2023-12-19 00:00:00
1702944900000,42692.0,42804.2,42586.6,42620.4,2244.751,2023-12-19 00:15:00
1702945800000,42620.4,42843.4,42583.6,42763.2,1665.223,2023-12-19 00:30:00
1702946700000,42763.2,42800.0,42674.6,42718.7,1288.533,2023-12-19 00:45:00
1702947600000,42718.7,42752.3,42614.1,42715.0,1533.87,2023-12-19 01:00:00
1702948500000,42715.0,42855.8,42625.0,42829.6,1651.656,2023-12-19 01:15:00
1702949400000,42829.6,42883.3,42747.3,42856.5,1672.26,2023-12-19 01:30:00
1702950300000,42856.5,43418.0,42855.5,43327.7,4447.621,2023-12-19 01:45:00
1702951200000,43327.7,43510.7,43137.1,43211.4,2881.967,2023-12-19 02:00:00
1702952100000,43211.4,43218.4,43052.7,43054.1,2122.482,2023-12-19 02:15:00
1702953000000,43054.1,43199.0,43051.7,43165.3,2003.066,2023-12-19 02:30:00
1702953900000,43165.3,43194.9,43088.0,43088.2,1913.541,2023-12-19 02:45:00
1702954800000,43088.2,43152.2,43042.5,43102.2,1783.162,2023-12-19 03:00:00
1702955700000,43102.2,43148.7,43014.5,43039.0,1880.191,2023-12-19 03:15:00
1702956600000,43039.0,43070.5,43010.1,43023.5,1701.434,2023-12-19 03:30:00
1702957500000,43023.5,43106.1,43018.0,43090.3,2051.949,2023-12-19 03:45:00
1702958400000,43090.3,43145.3,43054.8,43101.9,2040.486,2023-12-19 04:00:00
1702959300000,43101.9,43134.5,43046.2,43046.6,2509.28,2023-12-19 04:15:00
1702960200000,43046.6,43050.5,42858.3,42880.0,2667.556,2023-12-19 04:30:00
1702961100000,42880.0,42968.7,42880.0,42938.3,2150.189,2023-12-19 04:45:00
1702962000000,42938.3,42982.0,42912.9,42964.5,2236.687,2023-12-19 05:00:00
1702962900000,42964.5,43003.2,42946.7,42989.5,1840.451,2023-12-19 05:15:00
1702963800000,42989.5,42996.7,42915.1,42915.6,1523.92,2023-12-19 05:30:00
1702964700000,42915.6,42995.7,42881.9,42973.8,1586.664,2023-12-19 05:45:00
1702965600000,42973.8,42974.9,42870.6,42870.6,1732.961,2023-12-19 06:00:00
1702966500000,42870.6,42944.1,42830.3,42916.0,1857.38,2023-12-19 06:15:00
1702967400000,42916.0,42961.3,42914.0,42948.1,865.59,2023-12-19 06:30:00
1702968300000,42948.1,42989.9,42907.9,42925.4,856.558,2023-12-19 06:45:00
1702969200000,42925.4,43027.8,42905.6,43023.4,830.65,2023-12-19 07:00:00
1702970100000,43023.4,43037.0,42944.8,42965.5,1189.875,2023-12-19 07:15:00
1702971000000,42965.5,43060.0,42937.2,43031.7,1837.681,2023-12-19 07:30:00
1702971900000,43031.7,43126.5,43031.7,43049.8,1746.904,2023-12-19 07:45:00
1702972800000,43049.8,43183.2,43007.2,43155.0,1745.043,2023-12-19 08:00:00
1702973700000,43155.0,43185.9,43081.6,43179.5,2001.168,2023-12-19 08:15:00
1702974600000,43179.5,43201.4,43095.7,43152.8,1955.231,2023-12-19 08:30:00
1702975500000,43152.8,43182.9,43034.2,43101.9,1633.47,2023-12-19 08:45:00
1702976400000,43101.9,43189.0,43035.0,43187.1,1861.297,2023-12-19 09:00:00
1702977300000,43187.1,43195.5,43041.9,43059.8,1504.95,2023-12-19 09:15:00
1702978200000,43059.8,43122.3,42971.2,43080.1,1990.815,2023-12-19 09:30:00
1702979100000,43080.1,43131.2,43034.5,43047.6,2112.421,2023-12-19 09:45:00
1702980000000,43047.6,43058.2,42987.7,43013.6,1729.535,2023-12-19 10:00:00
1702980900000,43013.6,43060.9,42956.5,43059.9,2163.965,2023-12-19 10:15:00
1702981800000,43059.9,43239.8,43020.3,43215.8,2426.239,2023-12-19 10:30:00
1702982700000,43215.8,43277.3,43128.1,43138.7,2556.43,2023-12-19 10:45:00
1702983600000,43138.7,43214.9,43124.0,43143.5,1910.664,2023-12-19 11:00:00
1702984500000,43143.5,43170.0,43057.0,43080.6,2005.047,2023-12-19 11:15:00
1702985400000,43080.6,43166.6,43035.0,43138.0,888.024,2023-12-19 11:30:00
1702986300000,43138.0,43148.8,42976.5,42993.6,1239.915,2023-12-19 11:45:00
1702987200000,42993.6,43041.8,42971.5,43041.6,890.168,2023-12-19 12:00:00
1702988100000,43041.6,43046.1,42907.9,42958.5,1461.507,2023-12-19 12:15:00
1702989000000,42958.5,42990.1,42913.1,42935.2,1506.481,2023-12-19 12:30:00
1702989900000,42935.2,42978.3,42867.5,42962.7,1409.272,2023-12-19 12:45:00
1702990800000,42962.7,43060.4,42945.0,42999.5,1336.547,2023-12-19 13:00:00
1702991700000,42999.5,43022.6,42941.7,42977.3,1130.551,2023-12-19 13:15:00
1702992600000,42977.3,43022.9,42936.8,42970.6,933.453,2023-12-19 13:30:00
1702993500000,42970.6,42970.6,42873.0,42881.8,962.123,2023-12-19 13:45:00
1702994400000,42881.8,42926.5,42570.0,42630.3,3180.997,2023-12-19 14:00:00
1702995300000,42630.3,42760.0,42545.0,42749.9,2190.523,2023-12-19 14:15:00
1702996200000,42749.9,42765.2,42640.3,42656.5,1385.283,2023-12-19 14:30:00
1702997100000,42656.5,42687.3,42240.0,42378.5,4272.224,2023-12-19 14:45:00
1702998000000,42378.5,42644.0,42267.2,42573.2,2788.036,2023-12-19 15:00:00
1702998900000,42573.2,42742.1,42510.0,42738.6,2255.668,2023-12-19 15:15:00
1702999800000,42738.6,42753.0,42524.2,42633.9,2060.709,2023-12-19 15:30:00
1703000700000,42633.9,42636.3,42446.1,42500.2,1846.677,2023-12-19 15:45:00
1703001600000,42500.2,42664.0,42469.1,42659.4,2014.929,2023-12-19 16:00:00
1703002500000,42659.4,42660.1,42441.8,42480.6,1477.316,2023-12-19 16:15:00
