timestamp,datetime,open,high,low,close,volume,sentiment_index
1702941300000,2023-12-18 23:15:00,42698.1,42732.0,42573.7,42607.1,2383.12,65.0
1702942200000,2023-12-18 23:30:00,42607.1,42671.4,42590.5,42625.0,1840.76,65.0
1702943100000,2023-12-18 23:45:00,42625.0,42717.0,42625.0,42662.0,1826.342,65.0
1702944000000,2023-12-19 00:00:00,42662.0,42924.8,42601.0,42692.0,2889.016,73.0
1702944900000,2023-12-19 00:15:00,42692.0,42804.2,42586.6,42620.4,2244.751,73.0
1702945800000,2023-12-19 00:30:00,42620.4,42843.4,42583.6,42763.2,1665.223,73.0
1702946700000,2023-12-19 00:45:00,42763.2,42800.0,42674.6,42718.7,1288.533,73.0
1702947600000,2023-12-19 01:00:00,42718.7,42752.3,42614.1,42715.0,1533.87,73.0
1702948500000,2023-12-19 01:15:00,42715.0,42855.8,42625.0,42829.6,1651.656,73.0
1702949400000,2023-12-19 01:30:00,42829.6,42883.3,42747.3,42856.5,1672.26,73.0
1702950300000,2023-12-19 01:45:00,42856.5,43418.0,42855.5,43327.7,4447.621,73.0
1702951200000,2023-12-19 02:00:00,43327.7,43510.7,43137.1,43211.4,2881.967,73.0
1702952100000,2023-12-19 02:15:00,43211.4,43218.4,43052.7,43054.1,2122.482,73.0
1702953000000,2023-12-19 02:30:00,43054.1,43199.0,43051.7,43165.3,2003.066,73.0
1702953900000,2023-12-19 02:45:00,43165.3,43194.9,43088.0,43088.2,1913.541,73.0
1702954800000,2023-12-19 03:00:00,43088.2,43152.2,43042.5,43102.2,1783.162,73.0
1702955700000,2023-12-19 03:15:00,43102.2,43148.7,43014.5,43039.0,1880.191,73.0
1702956600000,2023-12-19 03:30:00,43039.0,43070.5,43010.1,43023.5,1701.434,73.0
1702957500000,2023-12-19 03:45:00,43023.5,43106.1,43018.0,43090.3,2051.949,73.0
1702958400000,2023-12-19 04:00:00,43090.3,43145.3,43054.8,43101.9,2040.486,73.0
1702959300000,2023-12-19 04:15:00,43101.9,43134.5,43046.2,43046.6,2509.28,73.0
1702960200000,2023-12-19 04:30:00,43046.6,43050.5,42858.3,42880.0,2667.556,73.0
1702961100000,2023-12-19 04:45:00,42880.0,42968.7,42880.0,42938.3,2150.189,73.0
1702962000000,2023-12-19 05:00:00,42938.3,42982.0,42912.9,42964.5,2236.687,73.0
1702962900000,2023-12-19 05:15:00,42964.5,43003.2,42946.7,42989.5,1840.451,73.0
1702963800000,2023-12-19 05:30:00,42989.5,42996.7,42915.1,42915.6,1523.92,73.0
1702964700000,2023-12-19 05:45:00,42915.6,42995.7,42881.9,42973.8,1586.664,73.0
1702965600000,2023-12-19 06:00:00,42973.8,42974.9,42870.6,42870.6,1732.961,73.0
1702966500000,2023-12-19 06:15:00,42870.6,42944.1,42830.3,42916.0,1857.38,73.0
1702967400000,2023-12-19 06:30:00,42916.0,42961.3,42914.0,42948.1,865.59,73.0
1702968300000,2023-12-19 06:45:00,42948.1,42989.9,42907.9,42925.4,856.558,73.0
1702969200000,2023-12-19 07:00:00,42925.4,43027.8,42905.6,43023.4,830.65,73.0
1702970100000,2023-12-19 07:15:00,43023.4,43037.0,42944.8,42965.5,1189.875,73.0
1702971000000,2023-12-19 07:30:00,42965.5,43060.0,42937.2,43031.7,1837.681,73.0
1702971900000,2023-12-19 07:45:00,43031.7,43126.5,43031.7,43049.8,1746.904,73.0
1702972800000,2023-12-19 08:00:00,43049.8,43183.2,43007.2,43155.0,1745.043,73.0
1702973700000,2023-12-19 08:15:00,43155.0,43185.9,43081.6,43179.5,2001.168,73.0
1702974600000,2023-12-19 08:30:00,43179.5,43201.4,43095.7,43152.8,1955.231,73.0
1702975500000,2023-12-19 08:45:00,43152.8,43182.9,43034.2,43101.9,1633.47,73.0
1702976400000,2023-12-19 09:00:00,43101.9,43189.0,43035.0,43187.1,1861.297,73.0
1702977300000,2023-12-19 09:15:00,43187.1,43195.5,43041.9,43059.8,1504.95,73.0
1702978200000,2023-12-19 09:30:00,43059.8,43122.3,42971.2,43080.1,1990.815,73.0
1702979100000,2023-12-19 09:45:00,43080.1,43131.2,43034.5,43047.6,2112.421,73.0
1702980000000,2023-12-19 10:00:00,43047.6,43058.2,42987.7,43013.6,1729.535,73.0
1702980900000,2023-12-19 10:15:00,43013.6,43060.9,42956.5,43059.9,2163.965,73.0
1702981800000,2023-12-19 10:30:00,43059.9,43239.8,43020.3,43215.8,2426.239,73.0
1702982700000,2023-12-19 10:45:00,43215.8,43277.3,43128.1,43138.7,2556.43,73.0
1702983600000,2023-12-19 11:00:00,43138.7,43214.9,43124.0,43143.5,1910.664,73.0
1702984500000,2023-12-19 11:15:00,43143.5,43170.0,43057.0,43080.6,2005.047,73.0
1702985400000,2023-12-19 11:30:00,43080.6,43166.6,43035.0,43138.0,888.024,73.0
1702986300000,2023-12-19 11:45:00,43138.0,43148.8,42976.5,42993.6,1239.915,73.0
1702987200000,2023-12-19 12:00:00,42993.6,43041.8,42971.5,43041.6,890.168,73.0
1702988100000,2023-12-19 12:15:00,43041.6,43046.1,42907.9,42958.5,1461.507,73.0
1702989000000,2023-12-19 12:30:00,42958.5,42990.1,42913.1,42935.2,1506.481,73.0
1702989900000,2023-12-19 12:45:00,42935.2,42978.3,42867.5,42962.7,1409.272,73.0
1702990800000,2023-12-19 13:00:00,42962.7,43060.4,42945.0,42999.5,1336.547,73.0
1702991700000,2023-12-19 13:15:00,42999.5,43022.6,42941.7,42977.3,1130.551,73.0
1702992600000,2023-12-19 13:30:00,42977.3,43022.9,42936.8,42970.6,933.453,73.0
1702993500000,2023-12-19 13:45:00,42970.6,42970.6,42873.0,42881.8,962.123,73.0
1702994400000,2023-12-19 14:00:00,42881.8,42926.5,42570.0,42630.3,3180.997,73.0
1702995300000,2023-12-19 14:15:00,42630.3,42760.0,42545.0,42749.9,2190.523,73.0
1702996200000,2023-12-19 14:30:00,42749.9,42765.2,42640.3,42656.5,1385.283,73.0
1702997100000,2023-12-19 14:45:00,42656.5,42687.3,42240.0,42378.5,4272.224,73.0
1702998000000,2023-12-19 15:00:00,42378.5,42644.0,42267.2,42573.2,2788.036,73.0
1702998900000,2023-12-19 15:15:00,42573.2,42742.1,42510.0,42738.6,2255.668,73.0
1702999800000,2023-12-19 15:30:00,42738.6,42753.0,42524.2,42633.9,2060.709,73.0
1703000700000,2023-12-19 15:45:00,42633.9,42636.3,42446.1,42500.2,1846.677,73.0
1703001600000,2023-12-19 16:00:00,42500.2,42664.0,42469.1,42659.4,2014.929,73.0
1703002500000,2023-12-19 16:15:00,42659.4,42660.1,42441.8,42480.6,1477.316,73.0
1703003400000,2023-12-19 16:30:00,42480.6,42517.9,42455.6,42476.9,1900.028,73.0
1703004300000,2023-12-19 16:45:00,42476.9,42477.2,42318.7,42340.4,2430.103,73.0
1703005200000,2023-12-19 17:00:00,42340.4,42368.0,41981.6,42025.0,4192.757,73.0
1703006100000,2023-12-19 17:15:00,42025.0,42037.4,41877.8,41980.0,3001.882,73.0
1703007000000,2023-12-19 17:30:00,41980.0,42112.3,41863.4,42053.9,1748.327,73.0
1703007900000,2023-12-19 17:45:00,42053.9,42135.3,41850.0,41868.0,1450.342,73.0
1703008800000,2023-12-19 18:00:00,41868.0,42065.3,41826.3,42059.1,1689.196,73.0
